Metric,Model 1 Name,Model 2 Name,Model 1 Performance,Model 2 Performance,Difference,P-value,Pretraining Subsample
auprc,CLMBR_MIMIC,CLMBR_DAPT,"0.273 [0.126, 0.413]","0.277 [0.122, 0.426]","-0.004 [-0.032, 0.019]",0.7576,0.2
auprc_c,CLMBR_MIMIC,CLMBR_DAPT,"0.83 [0.784, 0.88]","0.829 [0.776, 0.881]","0.002 [-0.011, 0.015]",0.7918,0.2
auroc,CLMBR_MIMIC,CLMBR_DAPT,"0.84 [0.785, 0.889]","0.839 [0.769, 0.89]","0.002 [-0.01, 0.02]",0.7588,0.2
ece,CLMBR_MIMIC,CLMBR_DAPT,"0.006 [0.003, 0.01]","0.006 [0.004, 0.009]","0.0 [-0.001, 0.002]",0.9608,0.2
auprc,CLMBR_MIMIC,CLMBR,"0.292 [0.133, 0.447]","0.255 [0.117, 0.387]","0.037 [0.009, 0.067]",0.0092,0.8
auprc_c,CLMBR_MIMIC,CLMBR,"0.837 [0.783, 0.889]","0.817 [0.771, 0.868]","0.02 [-0.003, 0.04]",0.0782,0.8
auroc,CLMBR_MIMIC,CLMBR,"0.845 [0.774, 0.898]","0.828 [0.775, 0.875]","0.018 [-0.01, 0.036]",0.1828,0.8
ece,CLMBR_MIMIC,CLMBR,"0.005 [0.003, 0.009]","0.007 [0.004, 0.012]","-0.001 [-0.004, 0.0]",0.0928,0.8
auprc,CLMBR_MIMIC,CLMBR,"0.209 [0.083, 0.339]","0.255 [0.117, 0.387]","-0.044 [-0.073, -0.017]",0.002,0.01
auprc_c,CLMBR_MIMIC,CLMBR,"0.792 [0.747, 0.842]","0.817 [0.771, 0.868]","-0.025 [-0.041, -0.008]",0.002,0.01
auroc,CLMBR_MIMIC,CLMBR,"0.815 [0.775, 0.858]","0.828 [0.775, 0.875]","-0.013 [-0.03, 0.013]",0.2532,0.01
ece,CLMBR_MIMIC,CLMBR,"0.007 [0.004, 0.012]","0.007 [0.004, 0.012]","-0.0 [-0.002, 0.002]",0.9924,0.01
auprc,CLMBR_DAPT,CLMBR,"0.287 [0.129, 0.435]","0.255 [0.117, 0.387]","0.03 [0.007, 0.053]",0.0038,0.4
auprc_c,CLMBR_DAPT,CLMBR,"0.835 [0.784, 0.885]","0.817 [0.771, 0.868]","0.019 [0.003, 0.031]",0.0236,0.4
auroc,CLMBR_DAPT,CLMBR,"0.844 [0.775, 0.894]","0.828 [0.775, 0.875]","0.016 [-0.006, 0.028]",0.114,0.4
ece,CLMBR_DAPT,CLMBR,"0.006 [0.004, 0.01]","0.007 [0.004, 0.012]","-0.001 [-0.003, 0.001]",0.5602,0.4
auprc,CLMBR_MIMIC,CLMBR_DAPT,"0.284 [0.129, 0.429]","0.287 [0.129, 0.435]","-0.001 [-0.023, 0.019]",0.8688,0.4
auprc_c,CLMBR_MIMIC,CLMBR_DAPT,"0.833 [0.789, 0.883]","0.835 [0.784, 0.885]","-0.002 [-0.015, 0.014]",0.7932,0.4
auroc,CLMBR_MIMIC,CLMBR_DAPT,"0.845 [0.794, 0.892]","0.844 [0.775, 0.894]","0.001 [-0.012, 0.026]",0.9248,0.4
ece,CLMBR_MIMIC,CLMBR_DAPT,"0.006 [0.003, 0.011]","0.006 [0.004, 0.01]","0.0 [-0.002, 0.002]",0.9388,0.4
auprc,CLMBR_DAPT,CLMBR,"0.277 [0.122, 0.425]","0.255 [0.117, 0.386]","0.021 [-0.0, 0.046]",0.052,0.2
auprc_c,CLMBR_DAPT,CLMBR,"0.829 [0.776, 0.881]","0.817 [0.771, 0.867]","0.012 [-0.004, 0.024]",0.108,0.2
auroc,CLMBR_DAPT,CLMBR,"0.839 [0.769, 0.89]","0.828 [0.775, 0.875]","0.011 [-0.01, 0.022]",0.224,0.2
ece,CLMBR_DAPT,CLMBR,"0.006 [0.004, 0.009]","0.007 [0.004, 0.012]","-0.001 [-0.004, 0.001]",0.454,0.2
auprc,CLMBR_MIMIC,CLMBR,"0.262 [0.116, 0.402]","0.255 [0.117, 0.387]","0.006 [-0.014, 0.027]",0.5648,0.1
auprc_c,CLMBR_MIMIC,CLMBR,"0.825 [0.781, 0.875]","0.817 [0.771, 0.868]","0.01 [-0.008, 0.025]",0.272,0.1
auroc,CLMBR_MIMIC,CLMBR,"0.836 [0.783, 0.884]","0.828 [0.775, 0.875]","0.01 [-0.006, 0.024]",0.2184,0.1
ece,CLMBR_MIMIC,CLMBR,"0.006 [0.004, 0.01]","0.007 [0.004, 0.012]","-0.001 [-0.003, 0.001]",0.516,0.1
auprc,CLMBR_MIMIC,CLMBR,"0.173 [0.06, 0.294]","0.255 [0.117, 0.387]","-0.077 [-0.121, -0.042]",0.0,0.001
auprc_c,CLMBR_MIMIC,CLMBR,"0.739 [0.685, 0.794]","0.817 [0.771, 0.868]","-0.077 [-0.104, -0.057]",0.0,0.001
auroc,CLMBR_MIMIC,CLMBR,"0.762 [0.705, 0.812]","0.828 [0.775, 0.875]","-0.066 [-0.089, -0.048]",0.0,0.001
ece,CLMBR_MIMIC,CLMBR,"0.007 [0.004, 0.012]","0.007 [0.004, 0.012]","0.0 [-0.002, 0.002]",0.7368,0.001
auprc,CLMBR_DAPT,CLMBR,"0.279 [0.129, 0.42]","0.255 [0.117, 0.387]","0.022 [0.002, 0.044]",0.0172,0.1
auprc_c,CLMBR_DAPT,CLMBR,"0.828 [0.774, 0.879]","0.817 [0.771, 0.868]","0.011 [-0.006, 0.023]",0.1536,0.1
auroc,CLMBR_DAPT,CLMBR,"0.838 [0.77, 0.889]","0.828 [0.775, 0.875]","0.01 [-0.011, 0.022]",0.2828,0.1
ece,CLMBR_DAPT,CLMBR,"0.006 [0.004, 0.011]","0.007 [0.004, 0.012]","-0.0 [-0.003, 0.001]",0.796,0.1
auprc,CLMBR_MIMIC,CLMBR_DAPT,"0.173 [0.06, 0.294]","0.261 [0.114, 0.398]","-0.084 [-0.131, -0.043]",0.0,0.001
auprc_c,CLMBR_MIMIC,CLMBR_DAPT,"0.739 [0.685, 0.794]","0.819 [0.768, 0.87]","-0.079 [-0.105, -0.059]",0.0,0.001
auroc,CLMBR_MIMIC,CLMBR_DAPT,"0.761 [0.705, 0.812]","0.828 [0.765, 0.88]","-0.066 [-0.088, -0.045]",0.0,0.001
ece,CLMBR_MIMIC,CLMBR_DAPT,"0.007 [0.004, 0.012]","0.007 [0.003, 0.012]","0.0 [-0.002, 0.002]",0.8764,0.001
auprc,CLMBR_DAPT,CLMBR,"0.27 [0.117, 0.411]","0.255 [0.117, 0.387]","0.014 [-0.001, 0.032]",0.0728,0.01
auprc_c,CLMBR_DAPT,CLMBR,"0.82 [0.768, 0.872]","0.817 [0.771, 0.868]","0.004 [-0.009, 0.012]",0.5404,0.01
auroc,CLMBR_DAPT,CLMBR,"0.83 [0.766, 0.882]","0.828 [0.775, 0.875]","0.002 [-0.017, 0.012]",0.828,0.01
ece,CLMBR_DAPT,CLMBR,"0.007 [0.004, 0.012]","0.007 [0.004, 0.012]","-0.0 [-0.002, 0.002]",0.9736,0.01
auprc,CLMBR_DAPT,CLMBR,"0.261 [0.114, 0.398]","0.255 [0.117, 0.387]","0.006 [-0.005, 0.018]",0.3088,0.001
auprc_c,CLMBR_DAPT,CLMBR,"0.819 [0.768, 0.87]","0.817 [0.771, 0.868]","0.002 [-0.01, 0.011]",0.7364,0.001
auroc,CLMBR_DAPT,CLMBR,"0.828 [0.765, 0.88]","0.828 [0.775, 0.875]","0.001 [-0.015, 0.01]",0.9432,0.001
ece,CLMBR_DAPT,CLMBR,"0.007 [0.003, 0.012]","0.007 [0.004, 0.012]","0.0 [-0.002, 0.002]",0.8844,0.001
auprc,CLMBR_MIMIC,CLMBR,"0.273 [0.125, 0.413]","0.255 [0.117, 0.387]","0.017 [-0.007, 0.043]",0.1464,0.2
auprc_c,CLMBR_MIMIC,CLMBR,"0.83 [0.784, 0.88]","0.817 [0.771, 0.868]","0.013 [-0.001, 0.029]",0.074,0.2
auroc,CLMBR_MIMIC,CLMBR,"0.84 [0.785, 0.889]","0.828 [0.775, 0.875]","0.013 [-0.002, 0.025]",0.0732,0.2
ece,CLMBR_MIMIC,CLMBR,"0.006 [0.003, 0.01]","0.007 [0.004, 0.012]","-0.001 [-0.003, 0.001]",0.4324,0.2
auprc,CLMBR_MIMIC,CLMBR_DAPT,"0.209 [0.083, 0.339]","0.27 [0.117, 0.411]","-0.057 [-0.099, -0.02]",0.0,0.01
auprc_c,CLMBR_MIMIC,CLMBR_DAPT,"0.792 [0.747, 0.842]","0.82 [0.768, 0.872]","-0.028 [-0.046, -0.006]",0.0124,0.01
auroc,CLMBR_MIMIC,CLMBR_DAPT,"0.815 [0.775, 0.858]","0.83 [0.766, 0.882]","-0.015 [-0.036, 0.021]",0.39,0.01
ece,CLMBR_MIMIC,CLMBR_DAPT,"0.007 [0.004, 0.012]","0.007 [0.004, 0.012]","0.0 [-0.002, 0.002]",0.9976,0.01
auprc,CLMBR_MIMIC,CLMBR,"0.246 [0.104, 0.383]","0.255 [0.117, 0.387]","-0.01 [-0.03, 0.009]",0.3232,0.05
auprc_c,CLMBR_MIMIC,CLMBR,"0.818 [0.777, 0.868]","0.817 [0.771, 0.868]","0.002 [-0.013, 0.015]",0.8052,0.05
auroc,CLMBR_MIMIC,CLMBR,"0.833 [0.787, 0.88]","0.828 [0.775, 0.875]","0.006 [-0.008, 0.023]",0.3516,0.05
ece,CLMBR_MIMIC,CLMBR,"0.006 [0.003, 0.01]","0.007 [0.004, 0.012]","-0.001 [-0.003, 0.001]",0.4144,0.05
auprc,CLMBR_MIMIC,CLMBR_DAPT,"0.292 [0.133, 0.447]","0.288 [0.128, 0.438]","0.004 [-0.011, 0.022]",0.609,0.8
auprc_c,CLMBR_MIMIC,CLMBR_DAPT,"0.837 [0.783, 0.889]","0.838 [0.79, 0.887]","-0.001 [-0.016, 0.011]",0.8068,0.8
auroc,CLMBR_MIMIC,CLMBR_DAPT,"0.845 [0.774, 0.898]","0.848 [0.782, 0.896]","-0.002 [-0.021, 0.011]",0.8036,0.8
ece,CLMBR_MIMIC,CLMBR_DAPT,"0.005 [0.003, 0.009]","0.006 [0.003, 0.01]","-0.0 [-0.002, 0.001]",0.5424,0.8
auprc,CLMBR_DAPT,CLMBR,"0.272 [0.125, 0.415]","0.255 [0.117, 0.387]","0.015 [-0.003, 0.038]",0.1216,0.05
auprc_c,CLMBR_DAPT,CLMBR,"0.826 [0.772, 0.877]","0.817 [0.771, 0.868]","0.009 [-0.009, 0.021]",0.229,0.05
auroc,CLMBR_DAPT,CLMBR,"0.837 [0.768, 0.887]","0.828 [0.775, 0.875]","0.009 [-0.016, 0.022]",0.3764,0.05
ece,CLMBR_DAPT,CLMBR,"0.007 [0.004, 0.011]","0.007 [0.004, 0.012]","-0.0 [-0.002, 0.001]",0.8606,0.05
auprc,CLMBR_MIMIC,CLMBR_DAPT,"0.262 [0.116, 0.402]","0.279 [0.129, 0.42]","-0.016 [-0.042, 0.007]",0.1968,0.1
auprc_c,CLMBR_MIMIC,CLMBR_DAPT,"0.825 [0.781, 0.875]","0.828 [0.774, 0.879]","-0.002 [-0.018, 0.016]",0.8622,0.1
auroc,CLMBR_MIMIC,CLMBR_DAPT,"0.836 [0.783, 0.884]","0.838 [0.77, 0.889]","-0.0 [-0.017, 0.024]",0.9908,0.1
ece,CLMBR_MIMIC,CLMBR_DAPT,"0.006 [0.004, 0.01]","0.006 [0.004, 0.011]","-0.0 [-0.002, 0.001]",0.6186,0.1
auprc,CLMBR_MIMIC,CLMBR_DAPT,"0.246 [0.104, 0.383]","0.272 [0.125, 0.415]","-0.025 [-0.055, -0.002]",0.0276,0.05
auprc_c,CLMBR_MIMIC,CLMBR_DAPT,"0.818 [0.777, 0.868]","0.826 [0.772, 0.877]","-0.007 [-0.024, 0.014]",0.4364,0.05
auroc,CLMBR_MIMIC,CLMBR_DAPT,"0.833 [0.787, 0.88]","0.837 [0.768, 0.887]","-0.003 [-0.021, 0.031]",0.8492,0.05
ece,CLMBR_MIMIC,CLMBR_DAPT,"0.006 [0.003, 0.01]","0.007 [0.004, 0.011]","-0.0 [-0.002, 0.001]",0.5168,0.05
auprc,CLMBR_MIMIC,CLMBR,"0.284 [0.129, 0.429]","0.255 [0.117, 0.387]","0.028 [0.002, 0.055]",0.0276,0.4
auprc_c,CLMBR_MIMIC,CLMBR,"0.833 [0.789, 0.883]","0.817 [0.771, 0.868]","0.016 [-0.001, 0.032]",0.0732,0.4
auroc,CLMBR_MIMIC,CLMBR,"0.845 [0.794, 0.892]","0.828 [0.775, 0.875]","0.017 [0.003, 0.031]",0.0284,0.4
ece,CLMBR_MIMIC,CLMBR,"0.006 [0.003, 0.011]","0.007 [0.004, 0.012]","-0.001 [-0.003, 0.001]",0.524,0.4
auprc,CLMBR_DAPT,CLMBR,"0.288 [0.128, 0.438]","0.255 [0.117, 0.387]","0.032 [0.009, 0.057]",0.0018,0.8
auprc_c,CLMBR_DAPT,CLMBR,"0.838 [0.79, 0.887]","0.817 [0.771, 0.868]","0.022 [0.009, 0.034]",0.002,0.8
auroc,CLMBR_DAPT,CLMBR,"0.848 [0.782, 0.896]","0.828 [0.775, 0.875]","0.02 [0.004, 0.03]",0.0242,0.8
ece,CLMBR_DAPT,CLMBR,"0.006 [0.003, 0.01]","0.007 [0.004, 0.012]","-0.001 [-0.004, 0.0]",0.224,0.8
